,tweet_id,created_at,full_text,user_id,tweet_type,retweeted_id
0,1532424287314841600,Thu Jun 02 18:09:55 +0000 2022,"The highest wave of acclaim for International movie at USA, unlike we Indian audience ever witnessed before.  The special screening @RRRMovie gave an Humongous High for American Audience. ThankYou @ssrajamouli @tarak9999 for giving us A PAN-WORLD BLOCKBUSTER  #RRRMovie #encoRRRe https://t.co/v1QsLde0uK",873144672427720705,Retweet,1532171926768082947
0,1532424287088689152,Thu Jun 02 18:09:55 +0000 2022,"@i1k__  Congratulations To Achieving This #16K_Followers Milestone 🌹🎉 
Your ambition is so inspiring! Congratulations on your well-deserved success
May Allah Bless you and More  Success In Your life  #BBN
@1Aw55 @Nysar7 @26Mn4
@Aln_m6 @S_BJ90 @NZPAK_
@B__786 @BAA_WA @_Sana_G https://t.co/zC8HhgOmV2",1525742239120609280,Retweet,1532324709362180097
0,1532424286966796303,Thu Jun 02 18:09:55 +0000 2022,War on Oromia by @AbiyAhmed is suicide bomb for failing #Ethiopian empire as #Oromia is the core of economy &amp; stability for Horn of #Africa. #StopWarOnOromia @amnesty @hrw @UN_HRC @StateDept @SecBlinken @AJEnglish @AP @CNN @NPR @BBCWorld @Reuters #OromoVoice #StopOromoGenocide,1511095529371049985,Retweet,1532414313201168391
0,1532424286790635530,Thu Jun 02 18:09:55 +0000 2022,if you followed a domestic abuse case like primetime popcorn cable that's extremely weird and dystopian and I am judging you,1064622261083275264,Retweet,1532084347976658946
0,1532424286643728384,Thu Jun 02 18:09:55 +0000 2022,Global K-Pop sensation BTS closed out Asian American and Pacific Islander Heritage Month today with its first visit to the White House https://t.co/jMWn3Hgnb8 https://t.co/XjdFJykL15,1457074998066049026,Retweet,1531763130904223745
0,1532424286480351232,Thu Jun 02 18:09:55 +0000 2022,Adult life is constantly saying to your friends let’s do something soon and suddenly 6 months have gone by,888531525066555392,Retweet,1532086748255338497
0,1532424286383661056,Thu Jun 02 18:09:55 +0000 2022,"Actually, just wanna make real real explicit the stakes of this. Theoretically I could be sued over this piece, in which I anonymously reference being stalked then raped.

That's part of why I wrote it: I want you to realize how few options we—I—have.
https://t.co/V2pqnsb4kq",933344382,Retweet,1532099416072540167
0,1532424286371291138,Thu Jun 02 18:09:55 +0000 2022,American dream to Amerikan nightmare in one generation https://t.co/THth2qu38w,1458475957791170583,Retweet,1532390360915247106
0,1532424286287187968,Thu Jun 02 18:09:55 +0000 2022,@Angry_Polak The higher one is on the food chain the more helpless they are at birth,879142186184450048,Reply Tweet,
0,1532424285687533576,Thu Jun 02 18:09:55 +0000 2022,#jungkook : instagram makes me angry😠 https://t.co/izUGwym1S8,1391835134190567434,Retweet,1532074856853827584
0,1532424285624619008,Thu Jun 02 18:09:55 +0000 2022,"The full account of my three week, 26 game tour of South American football, via Uruguay, Argentina, Paraguay, Chile and London.

 https://t.co/IbzuT6ADM0",371251860,Retweet,1532398927533719555
0,1532424285607776256,Thu Jun 02 18:09:55 +0000 2022,"@EducatingTrump2 @executive_jc @AggressiveDem @SouthTownKing @SnoJustis @CivilLost @SandraNotSandy1 @TheDickKnightV2 @LadyOfTheOcean1 @CleeseRaymond @Jennie_SC1 @SumatraSue @shrekvivre @WHurensohn @JackWhoElse @PridgeWessea @Jetson77 @MissJuliaLee @BrandonLetsgo90 @Aimhighffw @Annie20554592 @Evry1H8sGrtzLOL @TastyMorsel6 @browneaglewings @jeffschlueter1 @EnrelChi @Budleo_Morgan @EhbotchaKaren @LifeNyc2 @RepublicanRehab @Flattielover @ConcernedinPV @Q_Estrada @fred_rulz @spanna65 @cl1ntonserver @Emma34770971 @Woody4123 @GrieveNSpin @Sketchyjgaming @TommyJD5150 @dogsdontliket @ShdwCo47 @JeffMil76620840 @gmarshall1965 @CimoreneJeune @evasong049 @JimlikesBB @greatgatsby8790 @steking823 What happens when sexual assault and rape laws are not enforced at all?

What happens when all laws are not enforced at all?

https://t.co/2liWj4xiC6",1253516611828568066,Reply Tweet,
0,1532424285163233280,Thu Jun 02 18:09:55 +0000 2022,"I knew that the Johnny Depp and Amber Heard case would become a Twitter gender war. Remember, anyone can be a victim of domestic abuse, be it a man or a woman. Congratulations to Johnny Depp.",892854916628176896,Retweet,1532137790602878976
0,1532424285154856980,Thu Jun 02 18:09:55 +0000 2022,"Nigeria is the best basketball country in Africa.

This didn’t happen because of our leaders. It happened because of the players and staff who put their blood, sweat, &amp; tears into their work. 

Nigeria’s biggest threat from progress is Nigeria. We need change. https://t.co/jm6IDzkmZz",927067740,Retweet,1532345206741295104
